P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA	Col	BH	Col2
T577_Murdock_1293	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0544208	14.1122	0	0.0320288	176424	148296	132989	chocolate	0	black
T580_Jobson_3903	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0405976	12.442	0	0.0259842	177078	149029	137400	chocolate	0	black
T580_Jobson_3903	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0381292	11.239	0	0.0216554	178320	148954	138013	chocolate	0	black
T580_Jobson_3903	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0375479	11.5649	0	0.0226964	176499	148254	137523	chocolate	0	black
The-PA6	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0562214	14.6932	0	0.033822	176902	143337	128078	chocolate	0	black
The-PA6	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0550909	14.4841	0	0.029424	178271	143390	128416	chocolate	0	black
The-PA6	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0522546	13.3682	0	0.029689	176302	142541	128384	chocolate	0	black
Themeda_triandra_Australia_PMxPetersonx14430	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0774074	16.4489	0	0.0449323	174080	142651	122153	chocolate	0	black
Themeda_triandra_Australia_PMxPetersonx14430	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0770655	15.7264	0	0.0395996	175442	142697	122277	chocolate	0	black
Themeda_triandra_Australia_PMxPetersonx14430	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0721637	15.505	0	0.0395975	173380	141755	122673	chocolate	0	black
sean_118	TTPH	T119_Jobson_1758	0.0958403	15.5666	0	0.0632927	179669	164367	135616	darksalmon	0	black
sean_118	TTPH	T135_Jobson_2311	0.087085	14.5975	0	0.0508906	181818	162568	136522	darksalmon	0	black
sean_118	TTPH	T134_Jobson_2280	0.0792468	12.8284	0	0.0491703	179933	160451	136888	darksalmon	0	black
T115_Jobson_1398	TTPH	T119_Jobson_1758	0.0667466	13.1924	0	0.0492466	184165	176042	154012	darksalmon	0	black
T115_Jobson_1398	TTPH	T135_Jobson_2311	0.0588439	11.898	0	0.0384143	186479	174408	155023	darksalmon	0	black
T115_Jobson_1398	TTPH	T134_Jobson_2280	0.0532814	10.6245	0	0.0368098	184649	172347	154911	darksalmon	0	black
T126_Jobson_1893	TTPH	T119_Jobson_1758	0.0603677	12.5621	0	0.0437438	197879	170368	150970	darksalmon	0	black
T126_Jobson_1893	TTPH	T135_Jobson_2311	0.0502981	10.8375	0	0.0321594	199907	168447	152314	darksalmon	0	black
T126_Jobson_1893	TTPH	T134_Jobson_2280	0.0465304	9.54226	0	0.0314577	198302	166612	151796	darksalmon	0	black
T147_Jobson_2198	TTPH	T119_Jobson_1758	0.0610445	13.2295	0	0.0427279	206882	164926	145949	darksalmon	0	black
T147_Jobson_2198	TTPH	T135_Jobson_2311	0.0517525	11.5691	0	0.0320095	209121	163216	147154	darksalmon	0	black
T147_Jobson_2198	TTPH	T134_Jobson_2280	0.0472147	10.3445	0	0.0309672	207501	161366	146815	darksalmon	0	black
T149_Jobson_2287	TTPH	T119_Jobson_1758	0.0614114	13.9871	0	0.0428796	209033	164575	145531	darksalmon	0	black
T149_Jobson_2287	TTPH	T135_Jobson_2311	0.0517359	11.9159	0	0.0318831	211160	162754	146742	darksalmon	0	black
T149_Jobson_2287	TTPH	T134_Jobson_2280	0.0470535	10.6374	0	0.0307926	209528	160891	146431	darksalmon	0	black
T170_Jobson_3036	TTPH	T119_Jobson_1758	0.0715386	14.1555	0	0.0527428	180376	177262	153593	darksalmon	0	black
T170_Jobson_3036	TTPH	T135_Jobson_2311	0.0626879	12.7061	0	0.0408576	182587	175525	154816	darksalmon	0	black
T170_Jobson_3036	TTPH	T134_Jobson_2280	0.0564992	11.5444	0	0.0391062	180689	173396	154850	darksalmon	0	black
T174_Jobson_3055	TTPH	T119_Jobson_1758	0.0754016	14.5681	0	0.0546091	181989	175025	150481	darksalmon	0	black
T174_Jobson_3055	TTPH	T135_Jobson_2311	0.0665085	13.2932	0	0.0426328	184167	173255	151646	darksalmon	0	black
T174_Jobson_3055	TTPH	T134_Jobson_2280	0.060513	11.8879	0	0.0410361	182328	171185	151649	darksalmon	0	black
T176_Jobson_3066	TTPH	T119_Jobson_1758	0.0756555	14.0038	0	0.054703	182514	174759	150176	darksalmon	0	black
T176_Jobson_3066	TTPH	T135_Jobson_2311	0.0665411	12.5428	0	0.0425413	184637	172934	151356	darksalmon	0	black
T176_Jobson_3066	TTPH	T134_Jobson_2280	0.0604509	11.6136	0	0.0409657	182817	170883	151401	darksalmon	0	black
